Player,Year,Tm,FantPos,Age,PPR/G,PPR,OvRank,PosRank
Tyreek Hill,2024,MIA,WR,30.0,20.58496,329.359375,1,1
CeeDee Lamb,2024,DAL,WR,25.0,20.463558,327.41693115234375,2,2
Christian McCaffrey,2024,SFO,RB,28.0,19.32876,309.2601623535156,3,1
Amon-Ra St. Brown,2024,DET,WR,25.0,18.77614,300.4182434082031,4,3
Justin Jefferson,2024,MIN,WR,25.0,17.816912,285.0705871582031,5,4
Puka Nacua,2024,LAR,WR,23.0,17.6591,282.54559326171875,6,5
Travis Kelce,2024,KAN,TE,35.0,15.889801,254.23681640625,7,1
Jalen Hurts,2024,PHI,QB,26.0,22.759005,364.1440734863281,8,1
Ja'Marr Chase,2024,CIN,WR,24.0,16.657438,266.5190124511719,9,6
A.J. Brown,2024,PHI,WR,27.0,16.331266,261.3002624511719,10,7
Keenan Allen,2024,CHI,WR,32.0,15.845979,253.53565979003906,11,8
Cooper Kupp,2024,LAR,WR,31.0,15.692187,251.0749969482422,12,9
Davante Adams,2024,LVR,WR,32.0,15.647811,250.36497497558594,13,10
Breece Hall,2024,NYJ,RB,23.0,14.65585,234.4936065673828,14,2
Lamar Jackson,2024,BAL,QB,27.0,20.516762,328.2681884765625,15,2
Bijan Robinson,2024,ATL,RB,22.0,14.155138,226.48220825195312,16,3
Jaylen Waddle,2024,MIA,WR,26.0,14.864333,237.82933044433594,17,11
Brandon Aiyuk,2024,SFO,WR,26.0,14.811713,236.98741149902344,18,12
Josh Allen,2024,Bills,QB,28.0,19.869385,317.91015625,19,3
Jahmyr Gibbs,2024,DET,RB,22.0,13.849744,221.5959014892578,20,4
D.J. Moore,2024,CHI,WR,27.0,14.43193,230.91087341308594,21,13
Nick Chubb,2024,CLE,RB,29.0,13.699935,219.19895935058594,22,5
Alvin Kamara,2024,NOR,RB,29.0,13.697204,219.15525817871094,23,6
De'Von Achane,2024,MIA,RB,23.0,13.459041,215.3446502685547,24,7
T.J. Hockenson,2024,MIN,TE,27.0,12.729462,203.67138671875,25,2
Mike Evans,2024,TAM,WR,31.0,14.0034685,224.0554962158203,26,14
Sam LaPorta,2024,DET,TE,23.0,12.644365,202.30984497070312,27,3
Tank Dell,2024,HOU,WR,25.0,13.936911,222.99057006835938,28,15
Austin Ekeler,2024,WAS,RB,29.0,13.185571,210.96913146972656,29,8
Amari Cooper,2024,CLE,WR,30.0,13.781356,220.50169372558594,30,16
DeVonta Smith,2024,PHI,WR,26.0,13.751237,220.01979064941406,31,17
Deebo Samuel,2024,SFO,WR,28.0,13.683181,218.93089294433594,32,18
DeAndre Hopkins,2024,TEN,WR,32.0,13.641934,218.2709503173828,33,19
Jonathan Taylor,2024,IND,RB,25.0,12.959712,207.3553924560547,34,9
Stefon Diggs,2024,HOU,WR,31.0,13.632626,218.12200927734375,35,20
Patrick Mahomes,2024,KAN,QB,29.0,18.415192,294.64306640625,36,4
Justin Fields,2024,PIT,QB,25.0,18.253458,292.0553283691406,37,5
Christian Kirk,2024,JAX,WR,28.0,13.436264,214.980224609375,38,21
Michael Pittman Jr.,2024,IND,WR,27.0,13.390103,214.2416534423828,39,22
James Conner,2024,ARI,RB,29.0,12.7085705,203.33712768554688,40,10
Travis Etienne,2024,JAX,RB,25.0,12.685919,202.97470092773438,41,11
Nico Collins,2024,HOU,WR,25.0,13.328121,213.24993896484375,42,23
D.K. Metcalf,2024,SEA,WR,27.0,13.045081,208.72129821777344,43,24
George Kittle,2024,SFO,TE,31.0,11.738617,187.81787109375,44,4
Chris Olave,2024,NOR,WR,24.0,12.842698,205.48316955566406,45,25
Rashee Rice,2024,KAN,WR,24.0,12.778886,204.46217346191406,46,26
Mark Andrews,2024,BAL,TE,29.0,11.559675,184.95480346679688,47,5
Joe Burrow,2024,CIN,QB,28.0,17.332642,277.322265625,48,6
Trevor Lawrence,2024,JAX,QB,25.0,17.289387,276.63018798828125,49,7
Josh Jacobs,2024,GNB,RB,26.0,12.091454,193.4632568359375,50,12
Rhamondre Stevenson,2024,NWE,RB,26.0,11.976166,191.61865234375,51,13
Evan Engram,2024,JAX,TE,30.0,11.329889,181.27822875976562,52,6
Zay Flowers,2024,BAL,WR,24.0,12.50288,200.04608154296875,53,27
Derrick Henry,2024,BAL,RB,30.0,11.856348,189.70156860351562,54,14
Jayden Reed,2024,GNB,WR,24.0,12.471147,199.53834533691406,55,28
Chris Godwin,2024,TAM,WR,28.0,12.402512,198.440185546875,56,29
Jared Goff,2024,DET,QB,30.0,16.666862,266.6697998046875,57,8
Dak Prescott,2024,DAL,QB,31.0,16.637009,266.192138671875,58,9
Raheem Mostert,2024,MIA,RB,32.0,11.642867,186.28587341308594,59,15
Tyler Lockett,2024,SEA,WR,32.0,12.226802,195.6288299560547,60,30
Kyren Williams,2024,LAR,RB,24.0,11.583305,185.3328857421875,61,16
Terry McLaurin,2024,WAS,WR,29.0,12.191854,195.0696563720703,62,31
Garrett Wilson,2024,NYJ,WR,24.0,12.185761,194.97218322753906,63,32
Geno Smith,2024,SEA,QB,34.0,16.170187,258.7229919433594,64,10
David Njoku,2024,CLE,TE,28.0,10.767005,172.27207946777344,65,7
C.J. Stroud,2024,HOU,QB,23.0,16.026745,256.42791748046875,66,11
Kyler Murray,2024,ARI,QB,27.0,15.992738,255.88380432128906,67,12
Rachaad White,2024,TAM,RB,25.0,11.194172,179.10675048828125,68,17
Justin Herbert,2024,LAC,QB,26.0,15.949411,255.19058227539062,69,13
Jordan Addison,2024,MIN,WR,22.0,11.672033,186.75253295898438,70,33
Kenneth Walker III,2024,SEA,RB,24.0,11.061343,176.9814910888672,71,18
David Montgomery,2024,DET,RB,27.0,11.016252,176.26002502441406,72,19
Jakobi Meyers,2024,LVR,WR,28.0,11.552615,184.8418426513672,73,34
Tua Tagovailoa,2024,MIA,QB,26.0,15.666915,250.67063903808594,74,14
Saquon Barkley,2024,PHI,RB,27.0,10.914791,174.63665771484375,75,20
Tee Higgins,2024,CIN,WR,25.0,11.465734,183.4517364501953,76,35
Daniel Jones,2024,NYG,QB,27.0,15.550908,248.8145294189453,77,15
Adam Thielen,2024,CAR,WR,34.0,11.416626,182.666015625,78,36
Dallas Goedert,2024,PHI,TE,29.0,10.218842,163.50146484375,79,8
Anthony Richardson,2024,IND,QB,22.0,15.210036,243.36058044433594,80,16
Najee Harris,2024,PIT,RB,26.0,10.443139,167.09022521972656,81,21
George Pickens,2024,PIT,WR,23.0,10.940302,175.04483032226562,82,37
Brian Robinson Jr.,2024,WAS,RB,25.0,10.388498,166.21597290039062,83,22
Courtland Sutton,2024,DEN,WR,29.0,10.856121,173.69793701171875,84,38
Drake London,2024,ATL,WR,23.0,10.731647,171.7063446044922,85,39
Christian Watson,2024,GNB,WR,25.0,10.656361,170.50177001953125,86,40
Brandin Cooks,2024,DAL,WR,31.0,10.522085,168.35336303710938,87,41
Mike Williams,2024,NYJ,WR,30.0,10.517631,168.28208923339844,88,42
Isiah Pacheco,2024,KAN,RB,25.0,9.9131155,158.60984802246094,89,23
Javonte Williams,2024,DEN,RB,24.0,9.904674,158.4747772216797,90,24
Joe Mixon,2024,HOU,RB,28.0,9.81599,157.05584716796875,91,25
Derek Carr,2024,NOR,QB,33.0,13.839675,221.43479919433594,92,17
Dalton Schultz,2024,HOU,TE,28.0,9.160214,146.5634307861328,93,9
Josh Palmer,2024,LAC,WR,25.0,10.035053,160.56085205078125,94,43
