Player,Team,Pos,Rank,ADP,2023 Finish,2022 Finish,Id,Diff
CeeDee Lamb,DAL,WR,1,2.3,4,19,098d87b9-1fc9-4466-a7dd-7f35f697f506,0.57
Christian McCaffrey,SFO,RB,2,1.3,1,3,9e801ec6-ed8e-49b1-8b66-90553d7dd7e2,-0.53
Justin Jefferson,MIN,WR,3,5.4,9,6,8209c653-34c2-4bc5-8434-d5a6d2c8b27b,0.44
Tyreek Hill,MIA,WR,4,2.8,3,8,a36d312f-0f65-4e3a-98ef-823608309b21,-0.43
Breece Hall,NYJ,RB,5,7.3,18,17,3f671138-3ef9-437b-af4b-f865c1423161,0.32
A.J. Brown,PHI,WR,6,8.8,13,18,2bad3d34-9960-4d9a-8fa7-6abc8d2ba1f7,0.32
Ja'Marr Chase,CIN,WR,7,4.4,21,9,5a9b6074-7296-4571-94f8-6b9e803ba039,-0.59
Amon-Ra St. Brown,DET,WR,8,6.1,8,23,7b36b9f5-93c3-4fb7-8703-f89aa740c452,-0.31
Bijan Robinson,ATL,RB,9,7.1,39,,7f4475be-2cd2-4e94-9272-9d6e1c6a6262,-0.27
Garrett Wilson,NYJ,WR,10,10.2,91,55,c76953d5-dc07-49f6-85e2-731b919c09a0,0.02
Kyren Williams,LAR,RB,11,27.2,2,350,2ea6b394-3237-4644-8b49-69cf67b6e8a9,0.6
Puka Nacua,LAR,WR,12,11.7,14,,fb1781a7-ebfc-47c4-a925-18ad114c9834,-0.03
Jahmyr Gibbs,DET,RB,13,12.5,17,,f098bc7a-7b26-4b95-8a2a-5603e0c79eab,-0.04
Jaylen Waddle,MIA,WR,14,19.8,68,26,0eca149b-3acb-4540-90b9-e573a3983e73,0.29
Nico Collins,HOU,WR,15,17.7,20,206,0ca934b7-a6df-4df8-9f7b-f34f1f51d396,0.15
Jonathan Taylor,IND,RB,16,15.9,34,32,b4792419-5e76-45de-864a-741ac6df7651,-0.01
Cooper Kupp,LAR,WR,17,22.8,46,1,07d3867e-0154-4152-a798-18d6c7accd42,0.25
Saquon Barkley,PHI,RB,18,18.7,26,10,5b733acd-4a48-40f0-9662-51e4540b0351,0.04
De'Von Achane,MIA,RB,19,21.6,5,,47a7e2a4-2f23-4670-ac09-1c20b7e4bb39,0.12
Brandon Aiyuk,SFO,WR,20,25.8,28,82,c3032705-9198-4d1b-ba45-3d5eb7983645,0.22
Deebo Samuel,SFO,WR,21,16,10,56,bc1959be-6b30-4eca-be97-0f2e5b97eb9a,-0.31
Davante Adams,LVR,WR,22,21.7,33,7,6591b1cf-50ee-4c6d-964c-2b26ad46bfde,-0.01
Malik Nabers,NYG,WR,23,25.3,,,12dc1620-9e6e-4ea6-81db-325a12cf154c,0.09
Drake London,ATL,WR,24,15.2,98,114,56c751bc-45b5-4984-b916-8a9b1cbc056e,-0.58
Marvin Harrison,ARI,WR,25,13.7,,,ffadf9c7-84c5-4cbd-882c-08ac77e4ceff,-0.82
Jalen Hurts,PHI,QB,26,40.7,38,11,5e0c0398-4cff-4185-9805-3d5b56cb929b,0.36
Isiah Pacheco,KAN,RB,27,36.9,29,116,951c3ab5-1b70-43de-a537-16376027a240,0.27
Josh Jacobs,GNB,RB,28,50.9,40,5,993baded-bd48-4787-b0ad-ac2996be73a4,0.45
Chris Olave,NOR,WR,29,19.6,58,76,333093b5-7ef3-49ae-a736-93217e79f666,-0.48
Mike Evans,TAM,WR,30,25.7,12,42,8da0dbe1-4d06-45f3-830a-2112443c2466,-0.17
Derrick Henry,BAL,RB,31,29.3,23,4,2e8f2806-a076-496d-b610-30c5a9db0098,-0.06
Travis Etienne,JAX,RB,32,41.8,11,48,a9ad9af2-611c-4c9b-9e07-687f619a55ce,0.23
D.K. Metcalf,SEA,WR,33,28.6,41,38,2704e8d7-a534-4bef-9e3d-6d12ff738205,-0.15
Amari Cooper,CLE,WR,34,40.5,27,33,2426f790-2c33-4a1d-9074-0a2975affc5d,0.16
DeVonta Smith,PHI,WR,35,26.5,48,36,c0c23fc3-862e-481f-824b-04ee87c01392,-0.32
Tank Dell,HOU,WR,36,34.2,22,,2df22d1e-e053-42dd-9c5e-480d1196ff25,-0.05
Patrick Mahomes,KAN,QB,37,44,130,16,1028d0c1-94d4-463f-9a3d-3c0bebb060db,0.16
Josh Allen,BUF,QB,38,37,25,14,66b13037-5e4c-4b36-a7e7-398cbace2e58,-0.03
Travis Kelce,KAN,TE,39,39.1,56,13,18a2678b-805b-4ec2-8489-0e677735311b,0
D.J. Moore,CHI,WR,40,30.5,16,57,f68af97f-836c-472d-8ad2-8b87a19ec178,-0.31
George Pickens,PIT,WR,41,43.4,57,108,0c410b1a-19f9-415f-ae96-11dc81d258dc,0.06
Lamar Jackson,BAL,QB,42,47.7,43,45,f258ff18-d5fd-4dce-af9a-958900eecf52,0.12
Tee Higgins,CIN,WR,43,43.1,62,37,d27b174c-ed7e-4138-a2c7-ab3fcd3575b3,0
Stefon Diggs,HOU,WR,44,33.7,32,12,aeec05d9-8fa4-4b9a-a85d-4611dbb12d5f,-0.31
Rachaad White,TAM,RB,45,62.7,24,143,140a874a-e16b-4b51-9640-01797a14e4a1,0.28
Joe Mixon,HOU,RB,46,62.2,35,21,012a73f3-7fe2-427d-89d5-2ddc0fb366e6,0.26
Sam LaPorta,DET,TE,47,36.7,47,,686108bb-239b-4273-a28a-69b9571cc03d,-0.28
Trey McBride,ARI,TE,48,46,111,212,eb7bc4df-1285-4d03-94d4-bf9ab58eea87,-0.04
Christian Kirk,JAX,WR,49,48,86,34,3641f3d1-3ff6-4d44-91db-47834e41227b,-0.02
Mark Andrews,BAL,TE,50,48.9,61,64,b73379fb-c0bf-4624-bb87-5b9daf7ae1ed,-0.02
Zay Flowers,BAL,WR,51,38.1,74,,0f1d4122-0410-4a08-8ec5-564ad56b8d8c,-0.34
C.J. Stroud,HOU,QB,52,70.6,90,,d1f113bc-e984-499b-a386-2c38ef7a25d0,0.26
Anthony Richardson,IND,QB,53,57,77,,e5c2cbd7-65b7-41a9-b81d-a6e1313571fd,0.07
James Cook,BUF,RB,54,55,37,195,d7025fba-a9fc-4295-8a27-b194556a90f9,0.02
David Montgomery,DET,RB,55,73.1,19,69,1bbd25be-df0b-43c5-a027-2ff0bc886805,0.25
Xavier Worthy,KAN,WR,56,63,,,f1af93fd-af0e-4380-8ae4-519f04a8673c,0.11
Michael Pittman Jr.,IND,WR,57,34.8,42,75,0c4fb388-7ebc-4e40-947f-90ba2e7f60a3,-0.64
Diontae Johnson,CAR,WR,58,67.8,101,210,b7b1f316-40a7-4784-a8d1-f972b0dd394f,0.14
Rashee Rice,KAN,WR,59,51.9,80,,d763e0dc-b773-483d-be2a-a49c5ee0046d,-0.14
Marquise Brown,KAN,WR,60,61.3,118,78,905c091a-69b0-4c46-9f4a-0887d6485aaf,0.02
Dalton Kincaid,BUF,TE,61,51.7,149,,5fd1a37f-4c31-4cc1-82b5-ce980d353aaa,-0.18
Kyle Pitts,ATL,TE,62,60.4,165,186,4ffdccda-f8a4-4ec4-90a6-0ddf19626a93,-0.03
Brian Thomas,JAX,WR,63,77.8,,,e596066b-2a14-4ac2-9b2c-84422febdf32,0.19
Terry McLaurin,WAS,WR,64,50.9,88,65,84b4c137-2193-4e4b-b3de-a74f2eed2ad3,-0.26
Calvin Ridley,TEN,WR,65,57.6,54,,cc6cf04a-9ebb-4f4d-9d39-cc637b2da612,-0.13
Kenneth Walker III,SEA,RB,66,65.8,36,27,03fcdf1b-3181-4dc9-9891-5f8db430037f,0
Najee Harris,PIT,RB,67,84.4,83,53,fa6d275b-9843-4a2a-a13f-17b2a6421118,0.21
James Conner,ARI,RB,68,78.3,30,25,94b09be0-23a5-46fd-9484-7aa994983d13,0.13
David Njoku,CLE,TE,69,99.2,82,117,3346891b-8250-442e-be54-4ffc467140f0,0.3
George Kittle,SFO,TE,70,63.7,49,51,0d22526b-00d4-4f61-9c71-7540cd373543,-0.1
Keenan Allen,CHI,WR,71,55.6,7,31,079b90e6-3ce0-4952-88a6-8e2a3003d6fe,-0.28
Rome Odunze,CHI,WR,72,67.6,,,144f1a02-d422-4d10-ba5e-349a5daae34b,-0.07
Jaxon Smith-Njigba,SEA,WR,73,75.1,166,,71aa400e-7eab-465e-bf0a-1c1f7f407306,0.03
Chris Godwin,TAM,WR,74,61.3,110,66,19f1f476-acd6-4dbd-ac1c-7c4a920bf479,-0.21
Kyler Murray,ARI,QB,75,74.6,129,87,bf247202-99b8-442a-9164-7e7b88e3c39c,-0.01
Ladd McConkey,LAC,WR,76,74.8,,,da9a62a7-26d6-4485-be96-cd693c639448,-0.02
Rhamondre Stevenson,NWE,RB,77,81.6,69,29,1775916e-71ef-4b95-beb7-cc387b7d0a26,0.06
Alvin Kamara,NOR,RB,78,71.3,15,40,8efa33b9-1203-4a58-82f7-2b1104491e97,-0.09
Raheem Mostert,MIA,RB,79,92.2,6,84,313f9102-552e-42bb-9de8-8cdd09f9f400,0.14
Jaylen Warren,PIT,RB,80,86.8,97,263,f92ed8de-d86d-4837-9230-7ed84bdaf0f3,0.08
Dak Prescott,DAL,QB,81,95.9,51,110,820e0944-20ba-491d-94a0-9c367bb95d2a,0.16
Jake Ferguson,DAL,TE,82,84.9,128,297,21b4aa19-67f2-4f75-9580-e7de8402ec95,0.03
