OvRank,PosRank,Player,Year,Tm,FantPos,Age,PPR/G,PPR
1,1,Tyreek Hill,2024,MIA,WR,30,21.67,346.74
2,2,CeeDee Lamb,2024,DAL,WR,25,20.74,331.8
3,1,Christian McCaffrey,2024,SFO,RB,28,19.33,309.29
4,3,Justin Jefferson,2024,MIN,WR,25,19.3,308.82
5,4,Puka Nacua,2024,LAR,WR,23,18.59,297.5
6,5,Amon-Ra St. Brown,2024,DET,WR,25,18.29,292.62
7,1,Travis Kelce,2024,KAN,TE,35,15.82,253.05
8,6,Ja'Marr Chase,2024,CIN,WR,24,16.72,267.54
9,7,A.J. Brown,2024,PHI,WR,27,16.59,265.37
10,1,Josh Allen,2024,BUF,QB,28,22.02,352.28
11,8,Davante Adams,2024,LVR,WR,32,16.16,258.49
12,9,Cooper Kupp,2024,LAR,WR,31,15.84,253.47
13,2,Jalen Hurts,2024,PHI,QB,26,20.97,335.57
14,2,Breece Hall,2024,NYJ,RB,23,14.55,232.74
15,10,Keenan Allen,2024,CHI,WR,32,15.08,241.28
16,11,Jaylen Waddle,2024,MIA,WR,26,15.0,240.07
17,3,Bijan Robinson,2024,ATL,RB,22,14.01,224.12
18,4,De'Von Achane,2024,MIA,RB,23,13.99,223.8
19,12,Brandon Aiyuk,2024,SFO,WR,26,14.72,235.47
20,13,D.J. Moore,2024,CHI,WR,27,14.6,233.64
21,5,Nick Chubb,2024,CLE,RB,29,13.87,221.84
22,3,Lamar Jackson,2024,BAL,QB,27,19.77,316.29
23,14,Deebo Samuel,2024,SFO,WR,28,14.53,232.49
24,15,Stefon Diggs,2024,HOU,WR,31,14.31,228.92
25,2,Sam LaPorta,2024,DET,TE,23,12.78,204.45
26,6,Alvin Kamara,2024,NOR,RB,29,13.35,213.66
27,7,Jahmyr Gibbs,2024,DET,RB,22,13.35,213.64
28,3,T.J. Hockenson,2024,MIN,TE,27,12.71,203.37
29,16,Mike Evans,2024,TAM,WR,31,14.04,224.57
30,8,James Conner,2024,ARI,RB,29,13.22,211.53
31,9,Travis Etienne,2024,JAX,RB,25,13.22,211.45
32,17,Tank Dell,2024,HOU,WR,25,13.79,220.71
33,4,Patrick Mahomes,2024,KAN,QB,29,18.48,295.61
34,18,Jayden Reed,2024,GNB,WR,24,13.58,217.3
35,19,DeVonta Smith,2024,PHI,WR,26,13.46,215.39
36,20,DeAndre Hopkins,2024,TEN,WR,32,13.38,214.15
37,21,Amari Cooper,2024,CLE,WR,30,13.35,213.56
38,22,Michael Pittman Jr.,2024,IND,WR,27,13.26,212.19
39,23,Zay Flowers,2024,BAL,WR,24,13.2,211.14
40,24,Christian Kirk,2024,JAX,WR,28,13.18,210.81
41,25,Nico Collins,2024,HOU,WR,25,13.06,208.98
42,5,Justin Fields,2024,PIT,QB,25,17.68,282.87
43,10,Jonathan Taylor,2024,IND,RB,25,12.35,197.63
44,26,Garrett Wilson,2024,NYJ,WR,24,12.97,207.53
45,4,Evan Engram,2024,JAX,TE,30,11.66,186.6
46,11,Raheem Mostert,2024,MIA,RB,32,12.24,195.92
47,6,Kyler Murray,2024,ARI,QB,27,17.19,275.1
48,7,C.J. Stroud,2024,HOU,QB,23,17.09,273.47
49,27,Chris Olave,2024,NOR,WR,24,12.56,201.0
50,8,Trevor Lawrence,2024,JAX,QB,25,17.03,272.42
51,28,Chris Godwin,2024,TAM,WR,28,12.52,200.35
52,12,Kenneth Walker III,2024,SEA,RB,24,11.89,190.3
53,29,D.K. Metcalf,2024,SEA,WR,27,12.49,199.81
54,5,George Kittle,2024,SFO,TE,31,11.29,180.6
55,6,David Njoku,2024,CLE,TE,28,11.17,178.75
56,7,Mark Andrews,2024,BAL,TE,29,11.16,178.57
57,9,Tua Tagovailoa,2024,MIA,QB,26,16.7,267.16
58,10,Joe Burrow,2024,CIN,QB,28,16.64,266.26
59,13,Rhamondre Stevenson,2024,NWE,RB,26,11.64,186.26
60,30,Malik Nabers,2024,NYG,WR,22,12.24,195.79
61,31,Rashee Rice,2024,KAN,WR,24,12.18,194.91
62,14,Austin Ekeler,2024,WAS,RB,29,11.55,184.84
63,15,David Montgomery,2024,DET,RB,27,11.55,184.77
64,11,Dak Prescott,2024,DAL,QB,31,16.45,263.25
65,16,Rachaad White,2024,TAM,RB,25,11.5,183.97
66,12,Geno Smith,2024,SEA,QB,34,16.4,262.39
67,13,Jared Goff,2024,DET,QB,30,16.38,262.15
68,32,Tyler Lockett,2024,SEA,WR,32,12.0,191.96
69,33,Adam Thielen,2024,CAR,WR,34,11.89,190.22
70,17,Brian Robinson Jr.,2024,WAS,RB,25,11.29,180.56
71,34,Terry McLaurin,2024,WAS,WR,29,11.85,189.64
72,18,Josh Jacobs,2024,GNB,RB,26,11.18,178.84
73,35,Jordan Addison,2024,MIN,WR,22,11.76,188.22
74,14,Justin Herbert,2024,LAC,QB,26,15.91,254.6
75,36,Jakobi Meyers,2024,LVR,WR,28,11.69,186.98
76,19,Najee Harris,2024,PIT,RB,26,11.03,176.55
77,20,Kyren Williams,2024,LAR,RB,24,10.97,175.56
78,37,Marvin Harrison,2024,ARI,WR,23,11.44,183.03
79,38,George Pickens,2024,PIT,WR,23,11.43,182.95
80,39,Christian Watson,2024,GNB,WR,25,11.43,182.83
81,21,Isiah Pacheco,2024,KAN,RB,25,10.82,173.18
82,22,Derrick Henry,2024,BAL,RB,30,10.75,172.05
83,15,Anthony Richardson,2024,IND,QB,22,15.33,245.31
84,16,Daniel Jones,2024,NYG,QB,27,15.07,241.14
85,40,Brandin Cooks,2024,DAL,WR,31,10.95,175.26
86,41,Rome Odunze,2024,CHI,WR,23,10.94,175.1
87,42,Drake London,2024,ATL,WR,23,10.94,174.97
88,43,Tee Higgins,2024,CIN,WR,25,10.91,174.52
89,23,James Cook,2024,BUF,RB,25,10.26,164.22
90,24,Jonathon Brooks,2024,CAR,RB,22,10.23,163.75
91,44,Brian Thomas,2024,JAX,WR,22,10.77,172.26
92,45,Rashid Shaheed,2024,NOR,WR,26,10.7,171.2
93,46,Courtland Sutton,2024,DEN,WR,29,10.69,171.0
94,8,Brock Bowers,2024,LVR,TE,22,9.66,154.56
95,25,Saquon Barkley,2024,PHI,RB,27,10.07,161.11
96,26,Joe Mixon,2024,HOU,RB,28,10.06,161.03
97,9,Dallas Goedert,2024,PHI,TE,29,9.55,152.78
98,10,Dalton Kincaid,2024,BUF,TE,25,9.4,150.38
99,17,Derek Carr,2024,NOR,QB,33,13.78,220.48
100,18,Baker Mayfield,2024,TAM,QB,29,14.62,217.82
101,27,Jamaal Williams,2024,NOR,RB,29,9.36,149.72
102,28,Tony Pollard,2024,TEN,RB,27,9.34,149.49
103,11,Dalton Schultz,2024,HOU,TE,28,8.81,140.98
104,29,Aaron Jones,2024,MIN,RB,30,9.25,147.95
105,19,Russell Wilson,2024,PIT,QB,36,13.18,210.87
106,30,Miles Sanders,2024,CAR,RB,27,9.2,147.22
107,20,Jayden Daniels,2024,WAS,QB,24,13.06,208.96
108,47,Josh Palmer,2024,LAC,WR,25,9.59,153.44
109,48,Calvin Ridley,2024,TEN,WR,30,9.57,153.05
110,21,Matthew Stafford,2024,LAR,QB,36,12.91,206.54
111,22,Brock Purdy,2024,SFO,QB,25,15.32,205.93
112,49,Mike Williams,2024,NYJ,WR,30,9.44,151.08
113,23,Kirk Cousins,2024,ATL,QB,36,12.77,204.29
114,24,Caleb Williams,2024,CHI,QB,23,12.68,202.93
115,25,J.J. McCarthy,2024,MIN,QB,22,12.68,202.84
116,31,Samaje Perine,2024,DEN,RB,29,8.82,141.16
117,32,Tyler Allgeier,2024,ATL,RB,24,8.8,140.85
118,33,Jaylen Warren,2024,PIT,RB,26,8.76,140.11
119,34,Jerome Ford,2024,CLE,RB,25,8.73,139.73
120,35,Javonte Williams,2024,DEN,RB,24,8.71,139.43
121,26,Deshaun Watson,2024,CLE,QB,29,12.45,199.13
122,50,Josh Downs,2024,IND,WR,23,9.17,146.67
123,51,Keon Coleman,2024,Bills,WR,22,9.1,145.64
124,36,Dameon Pierce,2024,HOU,RB,24,8.64,138.27
125,37,Khalil Herbert,2024,CHI,RB,26,8.63,138.02
126,38,Tyjae Spears,2024,TEN,RB,23,8.56,136.96
127,27,Aaron Rodgers,2024,NYJ,QB,41,12.16,194.48
128,28,Drake Maye,2024,NWE,QB,23,12.09,193.45
129,12,Kyle Pitts,2024,ATL,TE,24,8.04,128.71
130,52,Romeo Doubs,2024,GNB,WR,24,8.89,142.21
131,29,Jordan Love,2024,GNB,QB,26,14.84,192.23
132,39,Trey Benson,2024,ARI,RB,22,8.37,133.93
133,40,AJ Dillon,2024,GNB,RB,26,8.34,133.42
134,53,Darius Slayton,2024,NYG,WR,27,8.77,140.38
135,54,Jerry Jeudy,2024,CLE,WR,25,8.77,140.36
136,41,D'Andre Swift,2024,CHI,RB,25,8.26,132.1
137,30,Will Levis,2024,TEN,QB,25,11.69,187.0
138,31,Bo Nix,2024,DEN,QB,25,11.67,186.78
139,55,Jaxon Smith-Njigba,2024,SEA,WR,22,8.59,137.37
140,42,Chuba Hubbard,2024,CAR,RB,25,8.06,128.9
141,56,Diontae Johnson,2024,CAR,WR,28,8.46,135.4
142,13,Pat Freiermuth,2024,PIT,TE,26,7.65,122.47
143,14,Cole Kmet,2024,CHI,TE,25,7.59,121.43
144,15,Tyler Conklin,2024,NYJ,TE,29,7.58,121.25
145,57,Bo Melton,2024,GNB,WR,25,8.28,132.52
146,58,Noah Brown,2024,HOU,WR,28,8.21,131.41
147,43,Keaton Mitchell,2024,BAL,RB,22,7.79,124.68
148,32,Michael Penix,2024,ATL,QB,25,10.82,173.17
149,44,Jaleel McLaughlin,2024,DEN,RB,24,7.53,120.44
150,59,Adonai Mitchell,2024,IND,WR,22,7.76,124.21
151,60,Ja'Lynn Polk,2024,NWE,WR,23,7.76,124.09
152,61,Marquise Brown,2024,KAN,WR,27,7.74,123.85
153,62,Curtis Samuel,2024,BUF,WR,28,7.72,123.6
154,63,Zay Jones,2024,ARI,WR,29,7.67,122.64
155,16,Trey McBride,2024,ARI,TE,25,6.91,110.62
156,64,Xavier Worthy,2024,KAN,WR,22,7.56,121.02
157,45,Zach Charbonnet,2024,SEA,RB,23,7.15,114.47
158,65,Xavier Legette,2024,CAR,WR,24,7.52,120.35
159,66,Gabriel Davis,2024,JAX,WR,25,7.51,120.21
160,33,Bryce Young,2024,CAR,QB,23,10.13,162.13
161,67,Kendrick Bourne,2024,NWE,WR,29,7.45,119.25
162,17,Luke Musgrave,2024,GNB,TE,24,6.74,107.88
163,68,Jahan Dotson,2024,WAS,WR,24,7.43,118.93
164,46,Roschon Johnson,2024,CHI,RB,23,7.03,112.56
165,69,Michael Wilson,2024,ARI,WR,24,7.39,118.31
166,70,Elijah Moore,2024,CLE,WR,24,7.38,118.16
167,71,Wan'Dale Robinson,2024,NYG,WR,23,7.35,117.58
168,18,Zach Ertz,2024,WAS,TE,34,6.63,106.06
169,72,Demario Douglas,2024,NWE,WR,24,7.32,117.16
170,73,Tyler Boyd,2024,TEN,WR,30,7.29,116.6
171,47,Clyde Edwards-Helaire,2024,KAN,RB,25,6.86,109.76
172,48,Kenneth Gainwell,2024,PHI,RB,25,6.73,107.76
173,49,Ezekiel Elliott,2024,DAL,RB,29,6.71,107.43
