Player,Team,Conf,G,Cmp,Pass_Att,Cmp_Pct,Pass_Yds,Pass_TD,Int,Pass_Y/A,AY/A,PR,Year,School,Rush_Att,Rush_Yds,Rush_Y/A,Rush_TD,Rec,Rec_Yds,Y/R,Rec_TD,Plays,Tot_Yds,Y/P,Tot_TD
Shane Carden,East Carolina,American,13,392.0,617.0,63.5,4736.0,30.0,10.0,7.7,7.92,140.8,2014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marcus Mariota,Oregon,Pac-12,15,304.0,445.0,68.3,4454.0,42.0,4.0,10.0,11.49,181.7,2014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Garrett Grayson,Colorado State,MWC,13,270.0,420.0,64.3,4006.0,32.0,7.0,9.5,10.31,166.2,2014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jameis Winston,Florida State,ACC,13,305.0,467.0,65.3,3907.0,25.0,18.0,8.4,7.7,145.5,2014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rakeem Cato,Marshall,CUSA,14,267.0,451.0,59.2,3903.0,40.0,13.0,8.7,9.13,155.4,2014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Connor Halliday,Washington State,Pac-12,9,354.0,526.0,67.3,3873.0,32.0,11.0,7.4,7.64,145.0,2014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bryce Petty,Baylor,Big 12,12,270.0,428.0,63.1,3855.0,29.0,7.0,9.0,9.63,157.8,2014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grant Hedrick,Boise State,MWC,14,294.0,415.0,70.8,3696.0,23.0,14.0,8.9,8.5,157.2,2014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dylan Thompson,South Carolina,SEC,13,270.0,451.0,59.9,3574.0,26.0,11.0,7.9,7.98,140.6,2014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jake Waters,Kansas State,Big 12,13,262.0,397.0,66.0,3501.0,22.0,7.0,8.8,9.13,154.8,2014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blake Sims,Alabama,SEC,14,252.0,391.0,64.5,3487.0,28.0,10.0,8.9,9.2,157.9,2014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Taylor Heinicke,Old Dominion,CUSA,12,289.0,457.0,63.2,3476.0,30.0,16.0,7.6,7.34,141.8,2014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cody Sokol,Louisiana Tech,CUSA,14,260.0,448.0,58.0,3436.0,30.0,13.0,7.7,7.7,138.8,2014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clint Trickett,West Virginia,Big 12,11,281.0,419.0,67.1,3285.0,18.0,10.0,7.8,7.63,142.3,2014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
