Year,Pick,Player,Tm,Pos,Age,Team,Conf,G,Cmp,Pass_Att,Cmp_Pct,Pass_Yds,Pass_TD,Int,Pass_Y/A,AY/A,PR,College_Year,School,Rush_Att,Rush_Yds,Rush_Y/A,Rush_TD,Rec,Rec_Yds,Y/R,Rec_TD,Plays,Tot_Yds,Y/P,Tot_TD
2015,14,DeVante Parker,MIA,WR,22,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,40,Dorial Green-Beckham,TEN,WR,22,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,85,Tyler Kroft,CIN,TE,22,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,86,David Johnson,ARI,RB,23,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,92,Jeff Heuerman,DEN,TE,22,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,117,Blake Bell,SFO,TE,24,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,132,DeAndre Smelter,SFO,WR,23,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,143,MyCole Pruitt,MIN,TE,23,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,159,JJ Nelson,ARI,WR,23,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,171,Nick Boyle,BAL,TE,22,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,173,James O'Shaughnessy,KAN,TE,23,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,198,Randall Telfer,CLE,TE,23,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,202,A.J. Derby,NWE,TE,23,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,204,Darren Waller,BAL,WR,22,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,220,Neal Sterling,JAX,WR,23,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,221,Andre Debose,OAK,WR,0,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,233,Da'Ron Brown,KAN,WR,23,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,234,Dezmin Lewis,BUF,WR,22,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,245,Tre McBride,TEN,WR,22,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,246,Geoff Swaim,DAL,TE,21,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,254,Rory Anderson,SFO,TE,22,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,2,Carson Wentz,PHI,QB,23,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,21,Will Fuller,HOU,WR,22,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,94,Nick Vannett,SEA,TE,23,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,138,Seth Devalve,CLE,TE,23,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,143,DeAndre Washington,OAK,RB,23,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,177,Temarrick Hemingway,LAR,TE,23,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,180,Moritz Boehringer,MIN,WR,22,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,206,Mike Thomas,LAR,WR,22,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,217,Rico Gathers,DAL,TE,22,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,242,Keith Marshall,WAS,RB,22,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,247,Zac Brooks,SEA,RB,23,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,252,Beau Sandland,CAR,TE,23,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,2,Mitchell Trubisky,CHI,QB,23,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,45,Adam Shaheen,CHI,TE,22,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,69,Cooper Kupp,LAR,WR,24,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,79,ArDarius Stewart,NYJ,WR,23,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,98,Chad Williams,ARI,WR,22,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,119,Tarik Cohen,CHI,RB,22,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,146,George Kittle,SFO,TE,23,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,174,Eric Saubert,ATL,TE,23,,,,,,,,,,,,,,,,,,,,,,,,,,
