OvRank,PosRank,Player,Year,Tm,FantPos,Age,PPR/G,PPR
1,1,Tyreek Hill,2024,MIA,WR,30,20.67,330.68
2,1,Christian McCaffrey,2024,SFO,RB,28,19.3,308.86
3,2,CeeDee Lamb,2024,DAL,WR,25,19.79,316.68
4,3,Justin Jefferson,2024,MIN,WR,25,18.62,297.98
5,4,Amon-Ra St. Brown,2024,DET,WR,25,18.17,290.67
6,1,Travis Kelce,2024,KAN,TE,35,15.57,249.17
7,5,Ja'Marr Chase,2024,CIN,WR,24,16.56,264.9
8,6,Puka Nacua,2024,LAR,WR,23,16.15,258.45
9,7,Davante Adams,2024,LVR,WR,32,16.14,258.31
10,1,Josh Allen,2024,BUF,QB,28,21.89,350.3
11,8,A.J. Brown,2024,PHI,WR,27,16.1,257.66
12,2,Jahmyr Gibbs,2024,DET,RB,22,15.08,241.32
13,2,Jalen Hurts,2024,PHI,QB,26,21.53,344.46
14,9,Cooper Kupp,2024,LAR,WR,31,15.66,250.51
15,3,Breece Hall,2024,NYJ,RB,23,14.59,233.46
16,4,De'Von Achane,2024,MIA,RB,23,14.47,231.58
17,10,Keenan Allen,2024,CHI,WR,32,15.07,241.07
18,11,Jaylen Waddle,2024,MIA,WR,26,15.01,240.15
19,12,Brandon Aiyuk,2024,SFO,WR,26,14.99,239.82
20,13,Mike Evans,2024,TAM,WR,31,14.8,236.76
21,3,Lamar Jackson,2024,BAL,QB,27,19.85,317.64
22,14,D.J. Moore,2024,CHI,WR,27,14.53,232.56
23,5,James Conner,2024,ARI,RB,29,13.53,216.54
24,6,Nick Chubb,2024,CLE,RB,29,13.5,216.03
25,15,Tank Dell,2024,HOU,WR,25,14.17,226.69
26,16,Stefon Diggs,2024,HOU,WR,31,13.96,223.41
27,17,DeAndre Hopkins,2024,TEN,WR,32,13.93,222.85
28,7,Bijan Robinson,2024,ATL,RB,22,13.22,211.5
29,18,Amari Cooper,2024,CLE,WR,30,13.9,222.48
30,8,Jonathan Taylor,2024,IND,RB,25,13.2,211.14
31,19,Nico Collins,2024,HOU,WR,25,13.88,222.02
32,2,Sam LaPorta,2024,DET,TE,23,12.55,200.75
