OvRank,PosRank,Player,Year,Tm,FantPos,Age,PPR/G,PPR
10,1,Josh Allen,2024,BUF,QB,28,21.89,350.3
13,2,Jalen Hurts,2024,PHI,QB,26,21.53,344.46
21,3,Lamar Jackson,2024,BAL,QB,27,19.85,317.64
33,4,Patrick Mahomes,2024,KAN,QB,29,18.75,299.99
44,5,Joe Burrow,2024,CIN,QB,28,17.87,285.89
48,6,Kyler Murray,2024,ARI,QB,27,17.43,278.85
50,7,Dak Prescott,2024,DAL,QB,31,17.22,275.48
51,8,Trevor Lawrence,2024,JAX,QB,25,17.12,273.93
54,9,Geno Smith,2024,SEA,QB,34,16.95,271.25
58,10,Justin Fields,2024,PIT,QB,25,16.64,266.21
61,11,Justin Herbert,2024,LAC,QB,26,16.53,264.46
66,12,Tua Tagovailoa,2024,MIA,QB,26,16.25,260.01
68,13,C.J. Stroud,2024,HOU,QB,23,16.1,257.61
75,14,Jared Goff,2024,DET,QB,30,15.72,251.48
76,15,Daniel Jones,2024,NYG,QB,27,15.56,249.02
91,16,Derek Carr,2024,NOR,QB,33,14.34,229.48
98,17,Anthony Richardson,2024,IND,QB,22,13.48,215.72
99,18,Baker Mayfield,2024,TAM,QB,29,14.44,215.1
100,19,Kirk Cousins,2024,ATL,QB,36,13.44,215.08
103,20,Russell Wilson,2024,PIT,QB,36,13.22,211.57
106,21,Jayden Daniels,2024,WAS,QB,24,13.05,208.75
107,22,J.J. McCarthy,2024,MIN,QB,22,13.05,208.72
108,23,Matthew Stafford,2024,LAR,QB,36,13.03,208.51
109,24,Deshaun Watson,2024,CLE,QB,29,13.0,207.97
112,25,Caleb Williams,2024,CHI,QB,23,12.93,206.92
113,26,Aaron Rodgers,2024,NYJ,QB,41,12.57,201.15
117,27,Brock Purdy,2024,SFO,QB,25,14.81,199.0
119,28,Drake Maye,2024,NWE,QB,23,12.42,198.78
126,29,Jordan Love,2024,GNB,QB,26,14.62,189.42
129,30,Bo Nix,2024,DEN,QB,25,11.61,185.69
142,31,Michael Penix,2024,ATL,QB,25,11.05,176.79
150,32,Will Levis,2024,TEN,QB,25,10.69,171.09
160,33,Bryce Young,2024,CAR,QB,23,10.12,161.95
176,34,Aidan O'Connell,2024,LVR,QB,26,10.06,146.35
244,35,Gardner Minshew II,2024,LVR,QB,28,7.51,81.9
257,36,Jacoby Brissett,2024,NWE,QB,32,7.47,69.21
273,37,Sam Darnold,2024,MIN,QB,27,6.86,48.05
