OvRank,PosRank,Player,Year,Tm,FantPos,Age,PPR/G,PPR
1,1,Christian McCaffrey,2024,SFO,RB,28,19.13,306.04
15,2,Breece Hall,2024,NYJ,RB,23,14.54,232.67
16,3,De'Von Achane,2024,MIA,RB,23,14.43,230.94
17,4,Alvin Kamara,2024,NOR,RB,29,14.42,230.65
18,5,Jahmyr Gibbs,2024,DET,RB,22,14.4,230.44
21,6,Bijan Robinson,2024,ATL,RB,22,13.76,220.11
24,7,James Conner,2024,ARI,RB,29,13.52,216.31
26,8,Nick Chubb,2024,CLE,RB,29,13.45,215.2
34,9,Rhamondre Stevenson,2024,NWE,RB,26,13.03,208.46
35,10,Austin Ekeler,2024,WAS,RB,29,12.94,207.08
36,11,Jonathan Taylor,2024,IND,RB,25,12.93,206.94
44,12,Travis Etienne,2024,JAX,RB,25,12.43,198.88
50,13,Raheem Mostert,2024,MIA,RB,32,12.12,193.89
53,14,Josh Jacobs,2024,GNB,RB,26,12.07,193.1
54,15,Saquon Barkley,2024,PHI,RB,27,11.93,190.88
67,16,Najee Harris,2024,PIT,RB,26,11.38,182.14
69,17,Kyren Williams,2024,LAR,RB,24,11.31,180.98
71,18,Kenneth Walker III,2024,SEA,RB,24,11.3,180.77
74,19,Rachaad White,2024,TAM,RB,25,10.96,175.33
75,20,Derrick Henry,2024,BAL,RB,30,10.95,175.13
81,21,David Montgomery,2024,DET,RB,27,10.72,171.58
85,22,Javonte Williams,2024,DEN,RB,24,10.43,166.94
89,23,Joe Mixon,2024,HOU,RB,28,10.38,166.07
90,24,Brian Robinson Jr.,2024,WAS,RB,25,10.29,164.65
91,25,James Cook,2024,BUF,RB,25,10.24,163.86
95,26,Isiah Pacheco,2024,KAN,RB,25,9.92,158.77
97,27,Jaylen Warren,2024,PIT,RB,26,9.8,156.82
100,28,Tony Pollard,2024,TEN,RB,27,9.66,154.54
105,29,Jonathon Brooks,2024,CAR,RB,22,9.46,151.42
107,30,Aaron Jones,2024,MIN,RB,30,9.26,148.19
113,31,Khalil Herbert,2024,CHI,RB,26,9.11,145.7
116,32,Miles Sanders,2024,CAR,RB,27,8.87,141.99
117,33,Jamaal Williams,2024,NOR,RB,29,8.87,141.95
119,34,AJ Dillon,2024,GNB,RB,26,8.84,141.47
120,35,D'Andre Swift,2024,CHI,RB,25,8.84,141.47
121,36,Dameon Pierce,2024,HOU,RB,24,8.76,140.14
124,37,Tyler Allgeier,2024,ATL,RB,24,8.63,138.05
125,38,Tyjae Spears,2024,TEN,RB,23,8.51,136.15
130,39,Chuba Hubbard,2024,CAR,RB,25,8.38,134.01
132,40,Samaje Perine,2024,DEN,RB,29,8.2,131.2
140,41,Keaton Mitchell,2024,BAL,RB,22,7.71,123.33
149,42,Zach Charbonnet,2024,SEA,RB,23,7.45,119.22
155,43,Trey Benson,2024,ARI,RB,22,7.22,115.45
158,44,Ezekiel Elliott,2024,DAL,RB,29,7.15,114.41
159,45,Roschon Johnson,2024,CHI,RB,23,7.12,113.92
160,46,Jerome Ford,2024,CLE,RB,25,7.07,113.2
167,47,Elijah Mitchell,2024,SFO,RB,26,6.8,108.85
169,48,Devin Singletary,2024,NYG,RB,27,6.77,108.25
170,49,Antonio Gibson,2024,NWE,RB,26,6.76,108.17
177,50,Blake Corum,2024,LAR,RB,24,6.57,105.2
180,51,Jaleel McLaughlin,2024,DEN,RB,24,6.44,103.02
187,52,Kenneth Gainwell,2024,PHI,RB,25,6.16,98.6
190,53,Kendre Miller,2024,NOR,RB,22,5.93,94.82
193,54,D'Onta Foreman,2024,CLE,RB,28,5.83,93.25
195,55,Zack Moss,2024,CIN,RB,27,5.77,92.39
197,56,Clyde Edwards-Helaire,2024,KAN,RB,25,5.73,91.75
200,57,Justice Hill,2024,BAL,RB,27,5.64,90.31
202,58,Ty Chandler,2024,MIN,RB,26,5.64,90.16
206,59,Rico Dowdle,2024,DAL,RB,26,5.29,84.68
209,60,MarShawn Lloyd,2024,GNB,RB,24,5.23,83.7
210,61,J.K. Dobbins,2024,LAC,RB,26,5.2,83.13
213,62,Ray Davis,2024,BUF,RB,25,5.11,81.82
215,63,Audric Estime,2024,DEN,RB,22,4.99,79.77
216,64,Chase Brown,2024,CIN,RB,24,4.98,79.69
217,65,Gus Edwards,2024,LAC,RB,29,4.89,78.19
222,66,Alexander Mattison,2024,LVR,RB,26,4.56,72.91
224,67,Bucky Irving,2024,TAM,RB,23,4.48,71.75
226,68,Braelon Allen,2024,NYJ,RB,21,4.43,70.95
231,69,Zamir White,2024,LVR,RB,25,4.27,68.28
236,70,Jaylen Wright,2024,MIA,RB,22,4.05,64.87
239,71,Tank Bigsby,2024,JAX,RB,23,3.99,63.79
248,72,Will Shipley,2024,PHI,RB,23,3.63,58.15
254,73,Dylan Laube,2024,LVR,RB,25,3.3,52.78
256,74,Kimani Vidal,2024,LAC,RB,24,3.23,51.68
259,75,Trey Sermon,2024,IND,RB,25,3.17,50.65
260,76,Jordan Mason,2024,SFO,RB,25,3.16,50.51
269,77,Tyrone Tracy,2024,NYG,RB,25,2.37,37.99
274,78,Deneric Prince,2024,KAN,RB,24,2.08,33.24
