OvRank,PosRank,Player,Year,Tm,FantPos,Age,PPR/G,PPR
6,1,Travis Kelce,2024,KAN,TE,35,15.65,250.39
22,2,T.J. Hockenson,2024,MIN,TE,27,13.0,208.04
28,3,Sam LaPorta,2024,DET,TE,23,12.57,201.16
37,4,Evan Engram,2024,JAX,TE,30,12.2,195.16
38,5,Mark Andrews,2024,BAL,TE,29,12.19,195.04
48,6,George Kittle,2024,SFO,TE,31,11.58,185.26
73,7,David Njoku,2024,CLE,TE,28,10.45,167.26
79,8,Brock Bowers,2024,LVR,TE,22,10.25,163.94
87,9,Dallas Goedert,2024,PHI,TE,29,9.91,158.6
98,10,Dalton Schultz,2024,HOU,TE,28,9.3,148.81
102,11,Cole Kmet,2024,CHI,TE,25,9.18,146.81
103,12,Dalton Kincaid,2024,BUF,TE,25,9.11,145.76
138,13,Kyle Pitts,2024,ATL,TE,24,7.37,117.95
142,14,Tyler Conklin,2024,NYJ,TE,29,7.32,117.06
146,15,Pat Freiermuth,2024,PIT,TE,26,7.17,114.67
162,16,Juwan Johnson,2024,NOR,TE,28,6.73,107.63
163,17,Trey McBride,2024,ARI,TE,25,6.7,107.25
168,18,Greg Dulcich,2024,DEN,TE,24,6.47,103.44
172,19,Luke Musgrave,2024,GNB,TE,24,6.39,102.27
174,20,Zach Ertz,2024,WAS,TE,34,6.34,101.51
178,21,Hunter Henry,2024,NWE,TE,30,6.19,99.05
183,22,Cade Otton,2024,TAM,TE,25,6.02,96.4
184,23,Jake Ferguson,2024,DAL,TE,25,5.96,95.4
185,24,Dawson Knox,2024,BUF,TE,28,5.87,93.98
191,25,Chigoziem Okonkwo,2024,TEN,TE,25,5.64,90.3
192,26,Ben Sinnott,2024,WAS,TE,23,5.63,90.05
194,27,Noah Fant,2024,SEA,TE,27,5.52,88.29
196,28,Gerald Everett,2024,CHI,TE,30,5.48,87.7
207,29,Isaiah Likely,2024,BAL,TE,24,5.0,79.93
218,30,Michael Mayer,2024,LVR,TE,23,4.51,72.24
221,31,Hayden Hurst,2024,LAC,TE,31,4.39,70.28
227,32,Jonnu Smith,2024,MIA,TE,29,4.21,67.33
238,33,Ja'Tavion Sanders,2024,CAR,TE,22,3.86,61.7
241,34,Tucker Kraft,2024,GNB,TE,24,3.75,60.05
242,35,Daniel Bellinger,2024,NYG,TE,24,3.75,60.02
250,36,Mike Gesicki,2024,CIN,TE,29,3.37,53.99
253,37,Tommy Tremble,2024,CAR,TE,24,3.25,51.93
255,38,Colby Parkinson,2024,LAR,TE,25,3.1,49.65
258,39,Theo Johnson,2024,NYG,TE,24,3.02,48.37
271,40,Will Dissly,2024,LAC,TE,28,2.19,34.99
273,41,Davis Allen,2024,LAR,TE,23,2.06,32.96
