OvRank,PosRank,Player,Year,Tm,FantPos,Age,PPR/G,PPR
2,1,Tyreek Hill,2024,MIA,WR,30,20.06,321.04
3,2,CeeDee Lamb,2024,DAL,WR,25,19.55,312.79
4,3,Amon-Ra St. Brown,2024,DET,WR,25,18.32,293.15
5,4,Justin Jefferson,2024,MIN,WR,25,18.15,290.46
7,5,Ja'Marr Chase,2024,CIN,WR,24,16.79,268.65
8,6,Davante Adams,2024,LVR,WR,32,16.65,266.45
9,7,Puka Nacua,2024,LAR,WR,23,16.05,256.72
11,8,A.J. Brown,2024,PHI,WR,27,15.89,254.32
12,9,Cooper Kupp,2024,LAR,WR,31,15.88,254.1
14,10,Keenan Allen,2024,CHI,WR,32,15.37,245.93
19,11,Michael Pittman Jr.,2024,IND,WR,27,15.07,241.07
23,12,Mike Evans,2024,TAM,WR,31,14.33,229.35
25,13,Jaylen Waddle,2024,MIA,WR,26,14.18,226.89
27,14,DeAndre Hopkins,2024,TEN,WR,32,14.07,225.12
29,15,Brandon Aiyuk,2024,SFO,WR,26,13.88,222.11
30,16,Chris Godwin,2024,TAM,WR,28,13.87,221.94
31,17,D.J. Moore,2024,CHI,WR,27,13.83,221.33
32,18,Stefon Diggs,2024,HOU,WR,31,13.81,220.94
39,19,DeVonta Smith,2024,PHI,WR,26,13.41,214.62
40,20,Amari Cooper,2024,CLE,WR,30,13.4,214.34
41,21,Christian Kirk,2024,JAX,WR,28,13.25,211.99
42,22,Chris Olave,2024,NOR,WR,24,13.14,210.29
43,23,Tank Dell,2024,HOU,WR,25,13.14,210.24
45,24,Nico Collins,2024,HOU,WR,25,13.02,208.29
47,25,Garrett Wilson,2024,NYJ,WR,24,12.94,207.09
49,26,D.K. Metcalf,2024,SEA,WR,27,12.76,204.14
52,27,Deebo Samuel,2024,SFO,WR,28,12.72,203.55
55,28,Jayden Reed,2024,GNB,WR,24,12.53,200.52
58,29,Tyler Lockett,2024,SEA,WR,32,12.36,197.75
62,30,Zay Flowers,2024,BAL,WR,24,12.2,195.27
64,31,Adam Thielen,2024,CAR,WR,34,12.14,194.2
65,32,Malik Nabers,2024,NYG,WR,22,12.11,193.73
66,33,Terry McLaurin,2024,WAS,WR,29,12.1,193.65
70,34,Jakobi Meyers,2024,LVR,WR,28,11.9,190.33
76,35,Marvin Harrison,2024,ARI,WR,23,11.46,183.32
77,36,Rashee Rice,2024,KAN,WR,24,11.44,182.97
78,37,Tee Higgins,2024,CIN,WR,25,11.41,182.59
80,38,Jordan Addison,2024,MIN,WR,22,11.31,181.0
83,39,Courtland Sutton,2024,DEN,WR,29,11.07,177.14
86,40,Rome Odunze,2024,CHI,WR,23,10.96,175.37
88,41,Brandin Cooks,2024,DAL,WR,31,10.93,174.89
92,42,George Pickens,2024,PIT,WR,23,10.61,169.74
93,43,Christian Watson,2024,GNB,WR,25,10.56,168.93
94,44,Brian Thomas,2024,JAX,WR,22,10.54,168.64
96,45,Josh Palmer,2024,LAC,WR,25,10.36,165.77
99,46,Drake London,2024,ATL,WR,23,10.28,164.47
104,47,Calvin Ridley,2024,TEN,WR,30,9.98,159.69
106,48,Mike Williams,2024,NYJ,WR,30,9.89,158.27
109,49,Romeo Doubs,2024,GNB,WR,24,9.67,154.71
118,50,Rashid Shaheed,2024,NOR,WR,26,9.32,149.11
123,51,Marquise Brown,2024,KAN,WR,27,9.17,146.72
129,52,Xavier Worthy,2024,KAN,WR,22,8.87,141.87
131,53,Keon Coleman,2024,BUF,WR,22,8.68,138.95
135,54,Josh Downs,2024,IND,WR,23,8.45,135.27
139,55,Diontae Johnson,2024,CAR,WR,28,8.14,130.28
141,56,Jerry Jeudy,2024,CLE,WR,25,8.11,129.69
143,57,Zay Jones,2024,ARI,WR,29,8.03,128.54
144,58,Xavier Legette,2024,CAR,WR,24,8.02,128.36
145,59,Wan'Dale Robinson,2024,NYG,WR,23,7.94,127.0
147,60,Jaxon Smith-Njigba,2024,SEA,WR,22,7.9,126.41
148,61,Ja'Lynn Polk,2024,NWE,WR,23,7.87,125.96
