OvRank,PosRank,Player,Year,Tm,FantPos,Age,PPR/G,PPR
3,1,Christian McCaffrey,2024,SFO,RB,28,19.33,309.29
14,2,Breece Hall,2024,NYJ,RB,23,14.55,232.74
17,3,Bijan Robinson,2024,ATL,RB,22,14.01,224.12
18,4,De'Von Achane,2024,MIA,RB,23,13.99,223.8
21,5,Nick Chubb,2024,CLE,RB,29,13.87,221.84
26,6,Alvin Kamara,2024,NOR,RB,29,13.35,213.66
27,7,Jahmyr Gibbs,2024,DET,RB,22,13.35,213.64
30,8,James Conner,2024,ARI,RB,29,13.22,211.53
31,9,Travis Etienne,2024,JAX,RB,25,13.22,211.45
43,10,Jonathan Taylor,2024,IND,RB,25,12.35,197.63
46,11,Raheem Mostert,2024,MIA,RB,32,12.24,195.92
52,12,Kenneth Walker III,2024,SEA,RB,24,11.89,190.3
59,13,Rhamondre Stevenson,2024,NWE,RB,26,11.64,186.26
62,14,Austin Ekeler,2024,WAS,RB,29,11.55,184.84
63,15,David Montgomery,2024,DET,RB,27,11.55,184.77
65,16,Rachaad White,2024,TAM,RB,25,11.5,183.97
70,17,Brian Robinson Jr.,2024,WAS,RB,25,11.29,180.56
72,18,Josh Jacobs,2024,GNB,RB,26,11.18,178.84
76,19,Najee Harris,2024,PIT,RB,26,11.03,176.55
77,20,Kyren Williams,2024,LAR,RB,24,10.97,175.56
81,21,Isiah Pacheco,2024,KAN,RB,25,10.82,173.18
82,22,Derrick Henry,2024,BAL,RB,30,10.75,172.05
89,23,James Cook,2024,BUF,RB,25,10.26,164.22
90,24,Jonathon Brooks,2024,CAR,RB,22,10.23,163.75
95,25,Saquon Barkley,2024,PHI,RB,27,10.07,161.11
96,26,Joe Mixon,2024,HOU,RB,28,10.06,161.03
101,27,Jamaal Williams,2024,NOR,RB,29,9.36,149.72
102,28,Tony Pollard,2024,TEN,RB,27,9.34,149.49
104,29,Aaron Jones,2024,MIN,RB,30,9.25,147.95
106,30,Miles Sanders,2024,CAR,RB,27,9.2,147.22
116,31,Samaje Perine,2024,DEN,RB,29,8.82,141.16
117,32,Tyler Allgeier,2024,ATL,RB,24,8.8,140.85
118,33,Jaylen Warren,2024,PIT,RB,26,8.76,140.11
119,34,Jerome Ford,2024,CLE,RB,25,8.73,139.73
120,35,Javonte Williams,2024,DEN,RB,24,8.71,139.43
124,36,Dameon Pierce,2024,HOU,RB,24,8.64,138.27
125,37,Khalil Herbert,2024,CHI,RB,26,8.63,138.02
126,38,Tyjae Spears,2024,TEN,RB,23,8.56,136.96
132,39,Trey Benson,2024,ARI,RB,22,8.37,133.93
133,40,AJ Dillon,2024,GNB,RB,26,8.34,133.42
136,41,D'Andre Swift,2024,CHI,RB,25,8.26,132.1
140,42,Chuba Hubbard,2024,CAR,RB,25,8.06,128.9
147,43,Keaton Mitchell,2024,BAL,RB,22,7.79,124.68
149,44,Jaleel McLaughlin,2024,DEN,RB,24,7.53,120.44
157,45,Zach Charbonnet,2024,SEA,RB,23,7.15,114.47
164,46,Roschon Johnson,2024,CHI,RB,23,7.03,112.56
171,47,Clyde Edwards-Helaire,2024,KAN,RB,25,6.86,109.76
172,48,Kenneth Gainwell,2024,PHI,RB,25,6.73,107.76
173,49,Ezekiel Elliott,2024,DAL,RB,29,6.71,107.43
177,50,Devin Singletary,2024,NYG,RB,27,6.54,104.66
181,51,Elijah Mitchell,2024,SFO,RB,26,6.43,102.82
183,52,Justice Hill,2024,BAL,RB,27,6.41,102.5
184,53,Ty Chandler,2024,MIN,RB,26,6.4,102.44
193,54,Antonio Gibson,2024,NWE,RB,26,5.93,94.82
194,55,Rico Dowdle,2024,DAL,RB,26,5.85,93.68
196,56,Blake Corum,2024,LAR,RB,24,5.83,93.22
203,57,D'Onta Foreman,2024,CLE,RB,28,5.49,87.85
204,58,Zack Moss,2024,CIN,RB,27,5.46,87.37
207,59,Braelon Allen,2024,NYJ,RB,21,5.36,85.83
208,60,Kendre Miller,2024,NOR,RB,22,5.36,85.8
211,61,J.K. Dobbins,2024,LAC,RB,26,5.31,84.93
212,62,Chase Brown,2024,CIN,RB,24,5.29,84.7
213,63,MarShawn Lloyd,2024,GNB,RB,24,5.22,83.46
214,64,Gus Edwards,2024,LAC,RB,29,5.2,83.25
222,65,Zamir White,2024,LVR,RB,25,4.9,78.37
225,66,Alexander Mattison,2024,LVR,RB,26,4.64,74.3
226,67,Trey Sermon,2024,IND,RB,25,4.53,72.54
232,68,Audric Estime,2024,DEN,RB,22,4.17,66.69
233,69,Bucky Irving,2024,TAM,RB,23,4.16,66.54
236,70,Tank Bigsby,2024,JAX,RB,23,3.93,62.87
239,71,Jaylen Wright,2024,MIA,RB,22,3.86,61.78
246,72,Will Shipley,2024,PHI,RB,23,3.71,59.43
251,73,Jordan Mason,2024,SFO,RB,25,3.34,53.39
253,74,Ray Davis,2024,Bills,RB,25,3.19,51.11
254,75,Kimani Vidal,2024,LAC,RB,24,3.19,51.1
268,76,Dylan Laube,2024,LVR,RB,25,2.39,38.24
269,77,Tyrone Tracy,2024,NYG,RB,25,2.29,36.62
275,78,Deneric Prince,2024,KAN,RB,24,1.88,30.01
