OvRank,PosRank,Player,Year,Tm,FantPos,Age,PPR/G,PPR
7,1,Travis Kelce,2024,KAN,TE,35,15.82,253.05
25,2,Sam LaPorta,2024,DET,TE,23,12.78,204.45
28,3,T.J. Hockenson,2024,MIN,TE,27,12.71,203.37
45,4,Evan Engram,2024,JAX,TE,30,11.66,186.6
54,5,George Kittle,2024,SFO,TE,31,11.29,180.6
55,6,David Njoku,2024,CLE,TE,28,11.17,178.75
56,7,Mark Andrews,2024,BAL,TE,29,11.16,178.57
94,8,Brock Bowers,2024,LVR,TE,22,9.66,154.56
97,9,Dallas Goedert,2024,PHI,TE,29,9.55,152.78
98,10,Dalton Kincaid,2024,BUF,TE,25,9.4,150.38
103,11,Dalton Schultz,2024,HOU,TE,28,8.81,140.98
129,12,Kyle Pitts,2024,ATL,TE,24,8.04,128.71
142,13,Pat Freiermuth,2024,PIT,TE,26,7.65,122.47
143,14,Cole Kmet,2024,CHI,TE,25,7.59,121.43
144,15,Tyler Conklin,2024,NYJ,TE,29,7.58,121.25
155,16,Trey McBride,2024,ARI,TE,25,6.91,110.62
162,17,Luke Musgrave,2024,GNB,TE,24,6.74,107.88
168,18,Zach Ertz,2024,WAS,TE,34,6.63,106.06
179,19,Greg Dulcich,2024,DEN,TE,24,6.18,98.8
185,20,Chigoziem Okonkwo,2024,TEN,TE,25,6.0,95.93
187,21,Juwan Johnson,2024,NOR,TE,28,5.96,95.28
188,22,Hunter Henry,2024,NWE,TE,30,5.92,94.7
189,23,Jake Ferguson,2024,DAL,TE,25,5.92,94.66
191,24,Ben Sinnott,2024,WAS,TE,23,5.77,92.38
192,25,Cade Otton,2024,TAM,TE,25,5.67,90.71
197,26,Noah Fant,2024,SEA,TE,27,5.53,88.46
199,27,Isaiah Likely,2024,BAL,TE,24,5.49,87.86
205,28,Gerald Everett,2024,CHI,TE,30,5.12,81.9
215,29,Dawson Knox,2024,BUF,TE,28,4.93,78.95
218,30,Hayden Hurst,2024,LAC,TE,31,4.81,77.02
227,31,Tucker Kraft,2024,GNB,TE,24,4.32,69.06
230,32,Michael Mayer,2024,LVR,TE,23,4.21,67.37
237,33,Jonnu Smith,2024,MIA,TE,29,3.73,59.67
242,34,Daniel Bellinger,2024,NYG,TE,24,3.59,57.41
250,35,Tommy Tremble,2024,CAR,TE,24,3.22,51.48
252,36,Ja'Tavion Sanders,2024,CAR,TE,22,3.05,48.82
256,37,Theo Johnson,2024,NYG,TE,24,2.96,47.37
257,38,Mike Gesicki,2024,CIN,TE,29,2.89,46.18
262,39,Colby Parkinson,2024,LAR,TE,25,2.67,42.76
267,40,Will Dissly,2024,LAC,TE,28,2.41,38.52
270,41,Davis Allen,2024,LAR,TE,23,2.08,33.35
