OvRank,PosRank,Player,Year,Tm,FantPos,Age,PPR/G,PPR
1,1,Tyreek Hill,2024,MIA,WR,30,21.67,346.74
2,2,CeeDee Lamb,2024,DAL,WR,25,20.74,331.8
4,3,Justin Jefferson,2024,MIN,WR,25,19.3,308.82
5,4,Puka Nacua,2024,LAR,WR,23,18.59,297.5
6,5,Amon-Ra St. Brown,2024,DET,WR,25,18.29,292.62
8,6,Ja'Marr Chase,2024,CIN,WR,24,16.72,267.54
9,7,A.J. Brown,2024,PHI,WR,27,16.59,265.37
11,8,Davante Adams,2024,LVR,WR,32,16.16,258.49
12,9,Cooper Kupp,2024,LAR,WR,31,15.84,253.47
15,10,Keenan Allen,2024,CHI,WR,32,15.08,241.28
16,11,Jaylen Waddle,2024,MIA,WR,26,15.0,240.07
19,12,Brandon Aiyuk,2024,SFO,WR,26,14.72,235.47
20,13,D.J. Moore,2024,CHI,WR,27,14.6,233.64
23,14,Deebo Samuel,2024,SFO,WR,28,14.53,232.49
24,15,Stefon Diggs,2024,HOU,WR,31,14.31,228.92
29,16,Mike Evans,2024,TAM,WR,31,14.04,224.57
32,17,Tank Dell,2024,HOU,WR,25,13.79,220.71
34,18,Jayden Reed,2024,GNB,WR,24,13.58,217.3
35,19,DeVonta Smith,2024,PHI,WR,26,13.46,215.39
36,20,DeAndre Hopkins,2024,TEN,WR,32,13.38,214.15
37,21,Amari Cooper,2024,CLE,WR,30,13.35,213.56
38,22,Michael Pittman Jr.,2024,IND,WR,27,13.26,212.19
39,23,Zay Flowers,2024,BAL,WR,24,13.2,211.14
40,24,Christian Kirk,2024,JAX,WR,28,13.18,210.81
41,25,Nico Collins,2024,HOU,WR,25,13.06,208.98
44,26,Garrett Wilson,2024,NYJ,WR,24,12.97,207.53
49,27,Chris Olave,2024,NOR,WR,24,12.56,201.0
51,28,Chris Godwin,2024,TAM,WR,28,12.52,200.35
53,29,D.K. Metcalf,2024,SEA,WR,27,12.49,199.81
60,30,Malik Nabers,2024,NYG,WR,22,12.24,195.79
61,31,Rashee Rice,2024,KAN,WR,24,12.18,194.91
68,32,Tyler Lockett,2024,SEA,WR,32,12.0,191.96
69,33,Adam Thielen,2024,CAR,WR,34,11.89,190.22
71,34,Terry McLaurin,2024,WAS,WR,29,11.85,189.64
73,35,Jordan Addison,2024,MIN,WR,22,11.76,188.22
75,36,Jakobi Meyers,2024,LVR,WR,28,11.69,186.98
78,37,Marvin Harrison,2024,ARI,WR,23,11.44,183.03
79,38,George Pickens,2024,PIT,WR,23,11.43,182.95
80,39,Christian Watson,2024,GNB,WR,25,11.43,182.83
85,40,Brandin Cooks,2024,DAL,WR,31,10.95,175.26
86,41,Rome Odunze,2024,CHI,WR,23,10.94,175.1
87,42,Drake London,2024,ATL,WR,23,10.94,174.97
88,43,Tee Higgins,2024,CIN,WR,25,10.91,174.52
91,44,Brian Thomas,2024,JAX,WR,22,10.77,172.26
92,45,Rashid Shaheed,2024,NOR,WR,26,10.7,171.2
93,46,Courtland Sutton,2024,DEN,WR,29,10.69,171.0
108,47,Josh Palmer,2024,LAC,WR,25,9.59,153.44
109,48,Calvin Ridley,2024,TEN,WR,30,9.57,153.05
112,49,Mike Williams,2024,NYJ,WR,30,9.44,151.08
122,50,Josh Downs,2024,IND,WR,23,9.17,146.67
123,51,Keon Coleman,2024,Bills,WR,22,9.1,145.64
130,52,Romeo Doubs,2024,GNB,WR,24,8.89,142.21
134,53,Darius Slayton,2024,NYG,WR,27,8.77,140.38
135,54,Jerry Jeudy,2024,CLE,WR,25,8.77,140.36
139,55,Jaxon Smith-Njigba,2024,SEA,WR,22,8.59,137.37
141,56,Diontae Johnson,2024,CAR,WR,28,8.46,135.4
145,57,Bo Melton,2024,GNB,WR,25,8.28,132.52
146,58,Noah Brown,2024,HOU,WR,28,8.21,131.41
150,59,Adonai Mitchell,2024,IND,WR,22,7.76,124.21
151,60,Ja'Lynn Polk,2024,NWE,WR,23,7.76,124.09
152,61,Marquise Brown,2024,KAN,WR,27,7.74,123.85
153,62,Curtis Samuel,2024,BUF,WR,28,7.72,123.6
154,63,Zay Jones,2024,ARI,WR,29,7.67,122.64
156,64,Xavier Worthy,2024,KAN,WR,22,7.56,121.02
158,65,Xavier Legette,2024,CAR,WR,24,7.52,120.35
159,66,Gabriel Davis,2024,JAX,WR,25,7.51,120.21
161,67,Kendrick Bourne,2024,NWE,WR,29,7.45,119.25
163,68,Jahan Dotson,2024,WAS,WR,24,7.43,118.93
165,69,Michael Wilson,2024,ARI,WR,24,7.39,118.31
166,70,Elijah Moore,2024,CLE,WR,24,7.38,118.16
167,71,Wan'Dale Robinson,2024,NYG,WR,23,7.35,117.58
169,72,Demario Douglas,2024,NWE,WR,24,7.32,117.16
170,73,Tyler Boyd,2024,TEN,WR,30,7.29,116.6
174,74,Malachi Corley,2024,NYJ,WR,23,7.0,112.02
175,75,Dontayvion Wicks,2024,GNB,WR,23,6.99,111.91
176,76,Kalif Raymond,2024,DET,WR,30,6.91,110.62
178,77,Alec Pierce,2024,IND,WR,24,6.83,109.26
180,78,Ricky Pearsall,2024,SFO,WR,24,6.82,109.15
182,79,Demarcus Robinson,2024,LAR,WR,30,6.76,108.08
190,80,Troy Franklin,2024,DEN,WR,22,6.52,104.3
195,81,Odell Beckham Jr.,2024,MIA,WR,32,6.15,98.4
198,82,Trey Palmer,2024,TAM,WR,23,6.09,97.4
200,83,Ladd McConkey,2024,LAC,WR,23,6.07,97.08
201,84,Tutu Atwell,2024,LAR,WR,25,5.92,94.8
202,85,Treylon Burks,2024,TEN,WR,24,5.88,94.12
206,86,Quentin Johnston,2024,LAC,WR,23,5.65,90.38
209,87,Rashod Bateman,2024,BAL,WR,25,5.6,89.62
210,88,DJ Chark,2024,LAC,WR,28,5.6,89.56
216,89,K.J. Osborn,2024,NWE,WR,27,5.37,85.9
217,90,Jauan Jennings,2024,SFO,WR,27,5.37,85.89
219,91,Greg Dortch,2024,ARI,WR,26,5.27,84.32
220,92,Mack Hollins,2024,BUF,WR,31,5.2,83.14
221,93,Kadarius Toney,2024,KAN,WR,25,5.16,82.55
223,94,Darnell Mooney,2024,ATL,WR,27,5.14,82.26
224,95,Josh Reynolds,2024,DEN,WR,29,5.1,81.65
228,96,Khalil Shakir,2024,BUF,WR,24,4.75,76.01
229,97,Tre Tucker,2024,LVR,WR,23,4.74,75.84
231,98,Xavier Gipson,2024,NYJ,WR,23,4.49,71.88
234,99,Marvin Mims,2024,DEN,WR,22,4.14,66.2
238,100,Jermaine Burton,2024,CIN,WR,24,4.11,65.79
240,101,Roman Wilson,2024,PIT,WR,24,4.04,64.67
241,102,Cedric Tillman,2024,CLE,WR,24,4.03,64.47
243,103,A.T. Perry,2024,NOR,WR,25,3.94,63.0
244,104,Jalen McMillan,2024,TAM,WR,23,3.93,62.85
245,105,Javon Baker,2024,NWE,WR,23,3.93,62.83
247,106,Parker Washington,2024,JAX,WR,22,3.8,60.85
248,107,Jalin Hyatt,2024,NYG,WR,23,3.72,59.58
249,108,Devontez Walker,2024,BAL,WR,24,3.68,58.81
255,109,Luke McCaffrey,2024,WAS,WR,24,3.27,52.37
258,110,Jalen Tolbert,2024,DAL,WR,25,3.08,49.21
259,111,Andrei Iosivas,2024,CIN,WR,25,3.06,49.0
260,112,Calvin Austin,2024,PIT,WR,25,3.05,48.79
261,113,Van Jefferson,2024,PIT,WR,28,3.04,48.65
264,114,Malik Washington,2024,MIA,WR,24,2.86,45.68
265,115,Jalen Nailor,2024,MIN,WR,25,2.83,45.22
266,116,Dyami Brown,2024,WAS,WR,25,2.76,44.11
272,117,Cedrick Wilson Jr.,2024,NOR,WR,29,2.05,32.74
273,118,Johnny Wilson,2024,PHI,WR,24,1.99,31.91
274,119,Ray-Ray McCloud,2024,ATL,WR,28,1.99,31.82
276,120,Antoine Green,2024,DET,WR,25,1.59,25.47
277,121,Jordan Whittington,2024,LAR,WR,24,1.28,20.4
278,122,Jameson Williams,2024,DET,WR,23,0.77,12.32
